Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
16,18000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
9,25000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
1,190000,Forest,Tropical,Van,"Makandawa Forest Reserve, Kitulgala"
23,140000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
22,180000,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
2,150000,Historical Site,Moderate,Car,"Polonnaruwa, Polonnaruwa"
22,60000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
25,90000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
24,80000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
17,120000,Mountains,Warm,Rosa Bus,"Pidurangala, Sigiriya"
22,100000,Lakeside,Moderate,Rosa Bus,"Kandy Lake, Kandy"
21,68000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
24,150000,Mountains,Cool,Rosa Bus,"Hunas Falls, Kandy"
22,28000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
9,45000,City,Warm,Van,"Trincomalee City, Trincomalee"
3,90000,National Park,Warm,Car,"Udawalawe National Park, Udawalawe"
24,100000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
25,40000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
25,44000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
21,33000,Desert,Hot,Bikes,"Delft Island, Jaffna"
8,20000,Mountains,Cool,Rosa Bus,"Nine Arches Bridge, Ella"
4,4000,Desert,Hot,Car,"Delft Island, Jaffna"
20,35000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
18,68000,City,Moderate,Public Transport,"Badulla City, Badulla"
9,19000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
17,110000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
15,35000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
5,7000,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
11,44000,Lakeside,Moderate,Van,"Bolgoda Lake, Colombo"
20,44000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
12,68000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
4,55000,City,Moderate,Public Transport,"Matara City, Matara"
7,140000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
8,40000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
6,28000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
20,170000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
7,85000,Beach,Warm,Rosa Bus,"Marble Beach, Trincomalee"
1,60000,National Park,Warm,Car,"Kaudulla National Park, Polonnaruwa"
6,60000,National Park,Warm,Public Transport,"Yala National Park, Yala"
24,33000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
6,140000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,1800,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
7,85000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,2700,Mountains,Cool,Van,"Demodara Loop, Ella"
9,190000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
14,68000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
5,65000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
17,45000,Beach,Warm,Bikes,"Unawatuna Beach, Galle"
18,170000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
7,28000,National Park,Warm,Van,"Wasgamuwa National Park, Wasgamuwa"
11,24000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
14,190000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
13,140000,City,Moderate,Public Transport,"Galle City, Galle"
16,55000,City,Moderate,Bikes,"Colombo City, Colombo"
2,5000,Mountains,Cool,Car,"Kirigalpotta, Nuwara Eliya"
23,90000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
11,180000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
7,35000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
1,3200,City,Hot,Car,"Jaffna City, Jaffna"
20,45000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
7,35000,City,Moderate,Bikes,"Colombo City, Colombo"
6,24000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
6,70000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
17,180000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
10,18000,Beach,Warm,Rosa Bus,"Unawatuna Beach, Galle"
19,110000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
20,90000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
10,68000,City,Warm,Bikes,"Trincomalee City, Trincomalee"
1,2700,Beach,Warm,Public Transport,"Nilaveli Beach, Trincomalee"
19,58000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
1,2300,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
8,15000,Lakeside,Moderate,Public Transport,"Sorabora Wewa, Mahiyanganaya"
23,75000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
21,33000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
18,55000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
23,160000,City,Moderate,Public Transport,"Colombo City, Colombo"
11,200000,City,Moderate,Bikes,"Kandy City, Kandy"
10,190000,City,Moderate,Van,"Colombo City, Colombo"
3,130000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
15,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
1,3300,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
20,170000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
14,60000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
9,38000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
19,200000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,80000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
11,170000,Mountains,Cool,Bikes,"Demodara Loop, Ella"
12,48000,Beach,Warm,Bikes,"Weligama Beach, Weligama"
9,48000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
14,190000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
23,85000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
4,33000,City,Moderate,Bikes,"Matara City, Matara"
19,20000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
18,190000,City,Moderate,Bikes,"Badulla City, Badulla"
24,58000,Beach,Warm,Rosa Bus,"Rekawa Beach, Hambantota"
5,13000,Mountains,Cool,Van,"Ella Rock, Ella"
8,20000,Desert,Hot,Bikes,"Delft Island, Jaffna"
6,75000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
7,150000,National Park,Warm,Bikes,"Yala National Park, Yala"
14,65000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
14,100000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
1,20000,National Park,Warm,Car,"Kaudulla National Park, Polonnaruwa"
19,100000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
10,85000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
3,30000,City,Moderate,Car,"Kandy City, Kandy"
11,45000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
11,55000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
19,33000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
13,38000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
16,170000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
3,15000,Forest,Tropical,Van,"Hiyare Reservoir, Galle"
16,85000,Beach,Warm,Public Transport,"Trincomalee Beach, Trincomalee"
1,1500,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
23,38000,City,Moderate,Rosa Bus,"Galle City, Galle"
25,140000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
16,110000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
4,150000,City,Moderate,Public Transport,"Kandy City, Kandy"
8,25000,Historical Site,Moderate,Public Transport,"Thuparamaya, Anuradhapura"
15,58000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
16,45000,Historical Site,Moderate,Rosa Bus,"Mihintale, Mihintale"
4,33000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
11,24000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
15,170000,Beach,Warm,Bikes,"Negombo Beach, Negombo"
20,48000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
5,6000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
1,200000,Lakeside,Moderate,Car,"Parakrama Samudra, Polonnaruwa"
11,18000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
3,68000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
2,150000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
18,35000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
4,14000,Beach,Warm,Rosa Bus,"Jungle Beach, Unawatuna"
3,45000,Mountains,Cool,Rosa Bus,"Hunas Falls, Kandy"
10,24000,Beach,Warm,Rosa Bus,"Bentota Beach, Bentota"
22,25000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
14,33000,Forest,Tropical,Bikes,"Meemure, Kandy"
3,58000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
8,19000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
15,140000,Mountains,Cool,Bikes,"Kirigalpotta, Nuwara Eliya"
21,68000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
6,18000,Mountains,Cool,Van,"Nine Arches Bridge, Ella"
23,120000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
2,10000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
19,110000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
19,85000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
4,9000,City,Hot,Car,"Jaffna City, Jaffna"
13,17000,Mountains,Cool,Bikes,"Ella Rock, Ella"
8,13000,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
3,40000,Lakeside,Moderate,Car,"Victoria Reservoir, Kandy"
12,80000,Mountains,Cool,Van,"Kirigalpotta, Nuwara Eliya"
4,9000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
3,22000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
11,14000,Historical Site,Moderate,Van,"Mihintale, Mihintale"
5,150000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Matale"
25,48000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
18,44000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
3,5000,Forest,Tropical,Car,"Sinharaja Forest Reserve, Deniyaya"
20,200000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
2,85000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
9,90000,City,Warm,Van,"Trincomalee City, Trincomalee"
2,3500,Desert,Hot,Van,"Delft Island, Jaffna"
25,150000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
15,17000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
6,19000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
15,33000,Forest,Tropical,Public Transport,"Meemure, Kandy"
24,35000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
7,17000,Mountains,Cool,Public Transport,"Kirigalpotta, Nuwara Eliya"
2,45000,Forest,Tropical,Car,"Kottawa Arboretum, Galle"
11,19000,Lakeside,Moderate,Van,"Madu River, Balapitiya"
20,160000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
21,70000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
22,40000,Mountains,Cool,Bikes,"Horton Plains National Park, Nuwara Eliya"
3,160000,Lakeside,Moderate,Van,"Beira Lake, Colombo"
2,12000,Lakeside,Moderate,Rosa Bus,"Kandy Lake, Kandy"
2,13000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
7,38000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
11,85000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
3,15000,Beach,Warm,Rosa Bus,"Hiriketiya Beach, Dickwella"
2,35000,Mountains,Cool,Car,"Thotupola Kanda, Nuwara Eliya"
5,28000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
23,200000,Beach,Warm,Rosa Bus,"Passekudah Beach, Passekudah"
7,160000,Desert,Hot,Bikes,"Delft Island, Jaffna"
3,80000,Forest,Tropical,Car,"Dunhinda Falls, Badulla"
12,180000,Mountains,Cool,Public Transport,"Ravana Falls, Ella"
18,150000,City,Moderate,Bikes,"Badulla City, Badulla"
5,13000,Beach,Warm,Public Transport,"Polhena Beach, Matara"
9,40000,Beach,Warm,Public Transport,"Nilaveli Beach, Trincomalee"
15,70000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
8,70000,Beach,Warm,Public Transport,"Beruwala Beach, Beruwala"
23,190000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
7,25000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Matale"
9,150000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
9,17000,Beach,Warm,Public Transport,"Negombo Beach, Negombo"
2,45000,Desert,Hot,Van,"Delft Island, Jaffna"
5,160000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
18,190000,Mountains,Cool,Bikes,"Thotupola Kanda, Nuwara Eliya"
5,22000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
2,130000,Lakeside,Moderate,Public Transport,"Beira Lake, Colombo"
21,160000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
9,18000,National Park,Warm,Public Transport,"Yala National Park, Yala"
2,65000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
16,90000,Forest,Tropical,Bikes,"Meemure, Kandy"
2,44000,Beach,Warm,Public Transport,"Mirissa Beach, Mirissa"
1,2800,Historical Site,Cool,Bikes,"Seetha Amman Temple, Nuwara Eliya"
9,160000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
9,140000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
7,180000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
1,170000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
6,40000,National Park,Warm,Public Transport,"Yala National Park, Yala"
9,11000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
11,65000,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
2,25000,Mountains,Warm,Bikes,"Ritigala, Ritigala"
15,110000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
13,60000,Beach,Warm,Bikes,"Beruwala Beach, Beruwala"
1,17000,Beach,Warm,Public Transport,"Tangalle Beach, Tangalle"
5,100000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
8,80000,Forest,Tropical,Van,"Badulla Forest, Badulla"
1,90000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
1,1200,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
18,120000,Mountains,Cool,Public Transport,"Adam's Peak, Hatton"
10,200000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
2,33000,Lakeside,Moderate,Car,"Koggala Lake, Koggala"
8,75000,Mountains,Cool,Van,"Lipton�s Seat, Haputale"
10,20000,Mountains,Cool,Van,"Little Adam's Peak, Ella"
2,20000,National Park,Warm,Van,"Yala National Park, Yala"
2,2750,Historical Site,Cool,Car,"Seetha Amman Temple, Nuwara Eliya"
18,150000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
10,15000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
6,80000,Forest,Tropical,Public Transport,"Meemure, Kandy"
2,170000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
15,200000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
15,170000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
13,40000,Mountains,Cool,Rosa Bus,"Nine Arches Bridge, Ella"
16,45000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
10,44000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
13,58000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
17,22000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
15,120000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
14,22000,City,Moderate,Bikes,"Negombo City, Negombo"
18,130000,Beach,Warm,Rosa Bus,"Trincomalee Beach, Trincomalee"
8,18000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
12,50000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
11,12000,Desert,Hot,Van,"Delft Island, Jaffna"
13,24000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
11,85000,Forest,Tropical,Bikes,"Meemure, Kandy"
22,28000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
8,10000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
6,70000,National Park,Warm,Bikes,"Yala National Park, Yala"
3,22000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
11,70000,Mountains,Cool,Van,"Devon Falls, Nuwara Eliya"
4,58000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,1600,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
25,120000,Beach,Warm,Rosa Bus,"Hiriketiya Beach, Dickwella"
2,3250,City,Moderate,Public Transport,"Negombo City, Negombo"
22,160000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
21,110000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
11,20000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
8,120000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
15,55000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
11,140000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
5,11000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
23,160000,Forest,Tropical,Public Transport,"Meemure, Kandy"
1,100000,City,Moderate,Car,"Ratnapura City, Ratnapura"
2,90000,Desert,Hot,Van,"Delft Island, Jaffna"
22,68000,Forest,Tropical,Public Transport,"Meemure, Kandy"
13,90000,Desert,Hot,Bikes,"Delft Island, Jaffna"
14,70000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
11,190000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
5,80000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
10,18000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
6,68000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
8,10000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
5,20000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
6,38000,Desert,Hot,Bikes,"Delft Island, Jaffna"
4,44000,Lakeside,Moderate,Car,"Bolgoda Lake, Colombo"
1,17000,City,Hot,Bikes,"Jaffna City, Jaffna"
10,110000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
13,100000,Beach,Warm,Bikes,"Weligama Beach, Weligama"
16,38000,Historical Site,Moderate,Bikes,"Jetavanaramaya, Anuradhapura"
16,180000,City,Moderate,Public Transport,"Colombo City, Colombo"
12,17000,Historical Site,Moderate,Van,"Kuttam Pokuna, Anuradhapura"
1,19000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
19,38000,Beach,Warm,Rosa Bus,"Rekawa Beach, Hambantota"
10,120000,Beach,Warm,Rosa Bus,"Weligama Beach, Weligama"
1,130000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
21,70000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
23,130000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
25,58000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
10,160000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
18,70000,Historical Site,Moderate,Bikes,"Anuradhapura, Anuradhapura"
21,25000,Desert,Hot,Bikes,"Delft Island, Jaffna"
5,130000,Desert,Hot,Bikes,"Delft Island, Jaffna"
8,33000,City,Moderate,Public Transport,"Galle City, Galle"
24,200000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
21,58000,City,Cool,Bikes,"Nuwara Eliya City, Nuwara Eliya"
16,65000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
24,60000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
13,22000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
9,180000,Forest,Tropical,Bikes,"Meemure, Kandy"
5,100000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
23,170000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
6,75000,City,Moderate,Rosa Bus,"Galle City, Galle"
19,44000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
2,190000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
21,25000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
18,75000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
15,18000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
7,190000,Mountains,Cool,Van,"Hunas Falls, Kandy"
2,3300,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
8,33000,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
25,65000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
4,16000,City,Moderate,Public Transport,"Negombo City, Negombo"
24,160000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
17,40000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
14,30000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
22,33000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
15,110000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
11,22000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
19,100000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
19,35000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
2,190000,National Park,Warm,Car,"Gal Oya National Park, Ampara"
14,19000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
5,55000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
8,150000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
25,58000,City,Moderate,Public Transport,"Colombo City, Colombo"
15,68000,Beach,Warm,Bikes,"Uppuveli Beach, Trincomalee"
19,160000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
16,35000,Forest,Tropical,Public Transport,"Meemure, Kandy"
18,110000,Beach,Warm,Rosa Bus,"Marble Beach, Trincomalee"
19,68000,City,Moderate,Public Transport,"Negombo City, Negombo"
3,19000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
1,10000,Mountains,Cool,Van,"Knuckles Mountain Range, Matale"
18,55000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
18,200000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
1,3250,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
9,16000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
1,12000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
19,100000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
25,33000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
22,80000,Beach,Warm,Bikes,"Arugam Bay, Ampara"
12,90000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
18,38000,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
15,180000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
15,40000,Historical Site,Moderate,Public Transport,"Thuparamaya, Anuradhapura"
8,90000,National Park,Warm,Bikes,"Yala National Park, Yala"
2,110000,Desert,Hot,Bikes,"Delft Island, Jaffna"
6,10000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
5,38000,Desert,Hot,Car,"Delft Island, Jaffna"
12,22000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
14,140000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
16,22000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
10,65000,City,Moderate,Public Transport,"Kandy City, Kandy"
15,50000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,3000,Beach,Warm,Van,"Dickwella Beach, Dickwella"
23,68000,Beach,Warm,Rosa Bus,"Nilaveli Beach, Trincomalee"
19,110000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
21,70000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
10,180000,Mountains,Cool,Public Transport,"Nine Arches Bridge, Ella"
18,50000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
7,68000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
22,85000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
6,130000,Beach,Warm,Rosa Bus,"Unawatuna Beach, Galle"
16,150000,Beach,Warm,Bikes,"Bentota Beach, Bentota"
14,65000,Desert,Hot,Bikes,"Delft Island, Jaffna"
15,90000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,200000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
1,1100,Mountains,Cool,Van,"Little Adam's Peak, Ella"
15,44000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
7,22000,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
12,14000,Desert,Hot,Van,"Delft Island, Jaffna"
17,120000,City,Moderate,Bikes,"Badulla City, Badulla"
18,75000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
22,80000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
8,40000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
3,22000,Historical Site,Moderate,Van,"Jetavanaramaya, Anuradhapura"
19,130000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
21,190000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
10,25000,Beach,Warm,Van,"Arugam Bay, Ampara"
11,68000,Beach,Warm,Van,"Tangalle Beach, Tangalle"
18,130000,Forest,Tropical,Rosa Bus,"Kanneliya Forest Reserve, Galle"
