Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Lakeside,Polonnaruwa,"Randenigala Dam, Kandy",Moderate,9,81000,4-star hotel,5,Kandy
Mountains,Kegalle,"Ritigala, Ritigala",Warm,15,84000,2-star hotel,8,Anuradhapura
Cultural,Ratnapura,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,5,11000,cottage,2,Colombo
Forest,Galle,"Knuckles Forest Reserve, Kandy",Tropical,24,11000,camping,1,Kandy
Forest,Matale,"Knuckles Forest Reserve, Kandy",Tropical,14,50000,camping,8,Kandy
Forest,Kegalle,"Bopath Ella, Kuruwita",Tropical,12,76000,2-star hotel,9,Ratnapura
Forest,Badulla,"Hiyare Reservoir, Galle",Tropical,20,74000,other,7,Galle
Beach,Nuwara Eliya,"Nilaveli Beach, Trincomalee",Warm,19,131000,4-star hotel,3,Trincomalee
Cultural,Hambantota,"Galle Fort, Galle",Warm,2,7000,2-star hotel,3,Galle
Beach,Nuwara Eliya,"Marble Beach, Trincomalee",Warm,2,13000,4-star hotel,3,Trincomalee
Forest,Nuwara Eliya,"Sinharaja Forest Reserve, Deniyaya",Tropical,22,148000,5-star hotel,3,Matara
Wildlife,Jaffna,"Yala National Park, Hambantota",Warm,19,311000,4-star hotel,8,Hambantota
Lakeside,Polonnaruwa,"Koggala Lake, Koggala",Moderate,1,19000,5-star hotel,9,Galle
Historical,Mullaitivu,"Temple of the Tooth, Kandy",Moderate,7,33000,other,7,Kandy
Cultural,Matale,"Yapahuwa Rock Fortress, Yapahuwa",Warm,9,49000,cottage,5,Kurunegala
Mountains,Hambantota,"Hunas Falls, Kandy",Cool,5,60000,3-star hotel,9,Kandy
Wildlife,Jaffna,"Bundala National Park, Hambantota",Warm,19,126000,cottage,5,Hambantota
Wildlife,Polonnaruwa,"Pigeon Island National Park, Trincomalee",Warm,24,55000,camping,4,Trincomalee
Wildlife,Gampaha,"Wilpattu National Park, Anuradhapura",Warm,5,73000,villa,9,Anuradhapura
Beach,Trincomalee,"Mirissa Beach, Mirissa",Warm,17,139000,2-star hotel,8,Matara
Wildlife,Mannar,"Lunugamvehera National Park, Hambantota",Warm,21,79000,cottage,3,Hambantota
Lakeside,Monaragala,"Bolgoda Lake, Colombo",Moderate,5,33000,guest houses,8,Colombo
Wildlife,Monaragala,"Hurulu Eco Park, Polonnaruwa",Warm,16,108000,2-star hotel,7,Polonnaruwa
Mountains,Nuwara Eliya,"Hunas Falls, Kandy",Cool,23,21000,guest houses,1,Kandy
Mountains,Badulla,"Horton Plains National Park, Nuwara Eliya",Cool,10,34000,camping,7,Nuwara Eliya
Wildlife,Ampara,"Minneriya National Park, Polonnaruwa",Warm,10,15000,camping,3,Polonnaruwa
Historical,Kilinochchi,"Anuradhapura Sacred City, Anuradhapura",Warm,10,48000,2-star hotel,5,Anuradhapura
Wildlife,Jaffna,"Gal Oya National Park, Ampara",Warm,21,112000,cottage,4,Ampara
Cultural,Kilinochchi,"Gangaramaya Temple, Colombo",Warm,16,27000,guest houses,2,Colombo
Historical,Matale,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,18,45000,3-star hotel,2,Colombo
Lakeside,Galle,"Parakrama Samudraya, Polonnaruwa",Moderate,1,2000,2-star hotel,2,Polonnaruwa
Forest,Monaragala,"Bopath Ella, Kuruwita",Tropical,19,159000,villa,8,Ratnapura
Beach,Kilinochchi,"Weligama Beach, Weligama",Warm,11,84000,2-star hotel,8,Matara
Lakeside,Badulla,"Parakrama Samudraya, Polonnaruwa",Moderate,17,71000,guest houses,5,Polonnaruwa
Wildlife,Vavuniya,"Kaudulla National Park, Polonnaruwa",Warm,14,323000,5-star hotel,9,Polonnaruwa
Forest,Galle,"Bopath Ella, Kuruwita",Tropical,13,21000,other,3,Ratnapura
Cultural,Monaragala,"Dambulla Cave Temple, Dambulla",Warm,9,65000,4-star hotel,4,Matale
Beach,Matale,"Marble Beach, Trincomalee",Warm,11,96000,guest houses,8,Trincomalee
Beach,Trincomalee,"Mount Lavinia Beach, Mount Lavinia",Warm,24,301000,4-star hotel,7,Colombo
Historical,Matara,"Lovamahapaya, Anuradhapura",Warm,18,52000,guest houses,3,Anuradhapura
Cultural,Jaffna,"Yapahuwa Rock Fortress, Yapahuwa",Warm,21,68000,cottage,3,Kurunegala
Historical,Ratnapura,"Mihintale, Anuradhapura",Warm,23,132000,guest houses,6,Anuradhapura
Mountains,Ampara,"Ella Rock, Ella",Cool,13,75000,5-star hotel,3,Badulla
Lakeside,Mullaitivu,"Madu River, Balapitiya",Moderate,17,49000,other,4,Galle
Forest,Galle,"Meemure, Kandy",Tropical,7,6000,2-star hotel,1,Kandy
Wildlife,Kandy,"Maduru Oya National Park, Polonnaruwa",Warm,11,79000,3-star hotel,5,Polonnaruwa
Mountains,Anuradhapura,"Ella Rock, Ella",Cool,18,103000,villa,5,Badulla
Historical,Matale,"Sri Maha Bodhi, Anuradhapura",Warm,22,192000,cottage,7,Anuradhapura
Lakeside,Nuwara Eliya,"Victoria Reservoir, Kandy",Moderate,10,47000,cottage,4,Kandy
Cultural,Mannar,"Sri Maha Bodhi, Anuradhapura",Warm,2,10000,guest houses,5,Anuradhapura
Cultural,Mannar,"Munneswaram Temple, Chilaw",Warm,3,7000,camping,6,Puttalam
Lakeside,Anuradhapura,"Madu River, Balapitiya",Moderate,22,370000,5-star hotel,7,Galle
Historical,Hambantota,"Lovamahapaya, Anuradhapura",Warm,4,15000,guest houses,4,Anuradhapura
Wildlife,Jaffna,"Wilpattu National Park, Anuradhapura",Warm,13,170000,4-star hotel,6,Anuradhapura
Forest,Puttalam,"Makandawa Forest Reserve, Kitulgala",Tropical,20,35000,other,3,Kegalle
Historical,Kegalle,"Sri Maha Bodhi, Anuradhapura",Warm,13,112000,villa,6,Anuradhapura
Cultural,Matale,"Jethawanaramaya, Anuradhapura",Warm,16,180000,cottage,9,Anuradhapura
Beach,Batticaloa,"Marble Beach, Trincomalee",Warm,16,35000,guest houses,2,Trincomalee
Historical,Badulla,"Ambuluwawa Temple, Gampola",Moderate,20,63000,camping,7,Kandy
Mountains,Matale,"Ravana Falls, Ella",Cool,10,58000,guest houses,7,Badulla
Wildlife,Kegalle,"Lunugamvehera National Park, Hambantota",Warm,13,49000,cottage,3,Hambantota
Lakeside,Trincomalee,"Parakrama Samudraya, Polonnaruwa",Moderate,15,200000,4-star hotel,8,Polonnaruwa
Wildlife,Vavuniya,"Bundala National Park, Hambantota",Warm,13,119000,villa,6,Hambantota
Forest,Matara,"Bopath Ella, Kuruwita",Tropical,8,6000,guest houses,1,Ratnapura
Forest,Monaragala,"Knuckles Forest Reserve, Kandy",Tropical,23,15000,other,1,Kandy
Wildlife,Kalutara,"Lunugamvehera National Park, Hambantota",Warm,10,14000,other,2,Hambantota
Lakeside,Nuwara Eliya,"Randenigala Dam, Kandy",Moderate,19,228000,villa,9,Kandy
Forest,Badulla,"Yagirala Forest Reserve, Kalutara",Tropical,19,65000,villa,3,Kalutara
Cultural,Mannar,"Galle Fort, Galle",Warm,24,233000,villa,6,Galle
Forest,Puttalam,"Makandawa Forest Reserve, Kitulgala",Tropical,22,25000,3-star hotel,1,Kegalle
Lakeside,Nuwara Eliya,"Koggala Lake, Koggala",Moderate,16,80000,other,8,Galle
Forest,Matale,"Badulla Forest, Badulla",Tropical,23,177000,5-star hotel,4,Badulla
Wildlife,Kegalle,"Gal Oya National Park, Ampara",Warm,16,147000,guest houses,9,Ampara
Lakeside,Kilinochchi,"Handapanagala Lake, Wellawaya",Moderate,12,51000,guest houses,6,Monaragala
Lakeside,Kilinochchi,"Beira Lake, Colombo",Moderate,22,39000,4-star hotel,1,Colombo
Wildlife,Ratnapura,"Lunugamvehera National Park, Hambantota",Warm,4,31000,guest houses,8,Hambantota
Mountains,Monaragala,"Ella Rock, Ella",Cool,10,29000,other,5,Badulla
Lakeside,Kandy,"Bolgoda Lake, Colombo",Moderate,6,22000,camping,9,Colombo
Cultural,Hambantota,"Isurumuniya, Anuradhapura",Warm,17,24000,villa,1,Anuradhapura
Forest,Ratnapura,"Knuckles Forest Reserve, Kandy",Tropical,18,32000,2-star hotel,2,Kandy
Beach,Kilinochchi,"Jungle Beach, Unawatuna",Warm,13,60000,camping,9,Galle
Mountains,Kandy,"Baker's Falls, Horton Plains",Cool,15,32000,other,3,Nuwara Eliya
Cultural,Trincomalee,"Polonnaruwa Ruins, Polonnaruwa",Warm,23,21000,guest houses,1,Polonnaruwa
Forest,Mullaitivu,"Kithulgala Forest Reserve, Kegalle",Tropical,16,79000,villa,4,Kegalle
Forest,Galle,"Sinharaja Forest Reserve, Deniyaya",Tropical,6,27000,5-star hotel,2,Matara
Wildlife,Matara,"Gal Oya National Park, Ampara",Warm,12,98000,4-star hotel,4,Ampara
Cultural,Puttalam,"Jethawanaramaya, Anuradhapura",Warm,3,17000,4-star hotel,3,Anuradhapura
Wildlife,Ampara,"Sinharaja Forest Reserve, Galle",Warm,3,10000,other,5,Galle
Wildlife,Badulla,"Bundala National Park, Hambantota",Warm,24,37000,camping,3,Hambantota
Forest,Monaragala,"Knuckles Forest Reserve, Kandy",Tropical,20,27000,3-star hotel,1,Kandy
Historical,Ampara,"Isurumuniya, Anuradhapura",Warm,10,29000,villa,2,Anuradhapura
Wildlife,Kandy,"Udawalawe National Park, Ratnapura",Warm,22,111000,other,7,Ratnapura
Beach,Ratnapura,"Polhena Beach, Matara",Warm,15,101000,5-star hotel,3,Matara
Lakeside,Kandy,"Parakrama Samudraya, Polonnaruwa",Moderate,23,72000,other,5,Polonnaruwa
Cultural,Puttalam,"Polonnaruwa Ruins, Polonnaruwa",Warm,16,86000,3-star hotel,4,Polonnaruwa
Historical,Kegalle,"Isurumuniya, Anuradhapura",Warm,17,131000,guest houses,8,Anuradhapura
Lakeside,Jaffna,"Sorabora Wewa, Mahiyanganaya",Moderate,21,36000,other,3,Badulla
Wildlife,Kurunegala,"Wilpattu National Park, Anuradhapura",Warm,4,9000,2-star hotel,2,Anuradhapura
Mountains,Kalutara,"Kirigalpotta, Nuwara Eliya",Cool,24,46000,guest houses,2,Nuwara Eliya
Historical,Mullaitivu,"Sri Maha Bodhi, Anuradhapura",Warm,10,19000,camping,4,Anuradhapura
Cultural,Nuwara Eliya,"Lovamahapaya, Anuradhapura",Warm,7,30000,3-star hotel,3,Anuradhapura
Beach,Galle,"Weligama Beach, Weligama",Warm,8,17000,other,3,Matara
Lakeside,Gampaha,"Tissa Wewa, Tissamaharama",Moderate,14,43000,camping,8,Hambantota
Cultural,Kandy,"Thuparamaya, Anuradhapura",Warm,18,78000,3-star hotel,3,Anuradhapura
Lakeside,Jaffna,"Kala Wewa, Anuradhapura",Moderate,23,141000,guest houses,8,Anuradhapura
Forest,Badulla,"Meemure, Kandy",Tropical,6,40000,2-star hotel,8,Kandy
Historical,Trincomalee,"Yapahuwa Rock Fortress, Yapahuwa",Warm,13,14000,cottage,1,Kurunegala
Lakeside,Kurunegala,"Randenigala Dam, Kandy",Moderate,6,11000,guest houses,2,Kandy
Beach,Hambantota,"Nilaveli Beach, Trincomalee",Warm,1,23000,5-star hotel,8,Trincomalee
Historical,Mullaitivu,"Abhayagiri Dagaba, Anuradhapura",Warm,1,7000,villa,5,Anuradhapura
Historical,Mannar,"Munneswaram Temple, Chilaw",Warm,11,152000,4-star hotel,9,Puttalam
Historical,Batticaloa,"Mihintale, Anuradhapura",Warm,6,13000,other,3,Anuradhapura
Cultural,Kurunegala,"Sri Maha Bodhi, Anuradhapura",Warm,15,58000,4-star hotel,2,Anuradhapura
Forest,Galle,"Sinharaja Forest Reserve, Deniyaya",Tropical,20,93000,cottage,4,Matara
Wildlife,Matara,"Maduru Oya National Park, Polonnaruwa",Warm,1,12000,5-star hotel,5,Polonnaruwa
Historical,Vavuniya,"Ambuluwawa Temple, Gampola",Moderate,19,77000,3-star hotel,3,Kandy
Historical,Matara,"Mihintale, Anuradhapura",Warm,2,12000,3-star hotel,4,Anuradhapura
Wildlife,Polonnaruwa,"Horton Plains National Park, Nuwara Eliya",Cool,20,50000,cottage,2,Nuwara Eliya
Mountains,Ampara,"Nine Arches Bridge, Ella",Cool,14,11000,guest houses,1,Badulla
Forest,Badulla,"Sinharaja Forest Reserve, Deniyaya",Tropical,24,86000,guest houses,4,Matara
Historical,Matale,"Isurumuniya, Anuradhapura",Warm,1,8000,4-star hotel,4,Anuradhapura
Wildlife,Puttalam,"Hurulu Eco Park, Polonnaruwa",Warm,19,192000,3-star hotel,7,Polonnaruwa
Beach,Colombo,"Jungle Beach, Unawatuna",Warm,9,124000,villa,9,Galle
Forest,Hambantota,"Yagirala Forest Reserve, Kalutara",Tropical,14,54000,guest houses,5,Kalutara
Forest,Kurunegala,"Namal Oya Forest, Ampara",Tropical,24,182000,cottage,7,Ampara
Beach,Matale,"Weligama Beach, Weligama",Warm,16,15000,guest houses,1,Matara
Forest,Anuradhapura,"Knuckles Forest Reserve, Kandy",Tropical,13,70000,4-star hotel,3,Kandy
Mountains,Kilinochchi,"Ritigala, Ritigala",Warm,10,64000,cottage,7,Anuradhapura
Cultural,Kegalle,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,24,300000,5-star hotel,6,Colombo
Historical,Hambantota,"Yapahuwa Rock Fortress, Yapahuwa",Warm,2,10000,2-star hotel,6,Kurunegala
Cultural,Kegalle,"Kataragama Temple, Kataragama",Warm,12,54000,5-star hotel,2,Hambantota
Lakeside,Trincomalee,"Victoria Dam, Kandy",Moderate,9,81000,5-star hotel,4,Kandy
Beach,Colombo,"Beruwala Beach, Beruwala",Warm,10,65000,other,9,Kalutara
Forest,Kandy,"Kithulgala Forest Reserve, Kegalle",Tropical,9,150000,5-star hotel,8,Kegalle
Lakeside,Jaffna,"Nuwara Wewa, Anuradhapura",Moderate,13,30000,villa,2,Anuradhapura
Wildlife,Gampaha,"Lunugamvehera National Park, Hambantota",Warm,22,285000,3-star hotel,9,Hambantota
Cultural,Matale,"Polonnaruwa Ruins, Polonnaruwa",Warm,10,202000,5-star hotel,9,Polonnaruwa
Forest,Nuwara Eliya,"Hiyare Reservoir, Galle",Tropical,8,6000,camping,2,Galle
Lakeside,Hambantota,"Madu River, Balapitiya",Moderate,19,109000,villa,4,Galle
Forest,Monaragala,"Kanneliya Forest Reserve, Galle",Tropical,24,221000,3-star hotel,8,Galle
Cultural,Polonnaruwa,"Ambuluwawa Temple, Gampola",Moderate,4,19000,other,7,Kandy
Lakeside,Jaffna,"Sembuwatta Lake, Matale",Moderate,22,39000,camping,4,Matale
Cultural,Gampaha,"Dambulla Cave Temple, Dambulla",Warm,16,29000,guest houses,2,Matale
Forest,Galle,"Badulla Forest, Badulla",Tropical,7,24000,camping,9,Badulla
Wildlife,Gampaha,"Pigeon Island National Park, Trincomalee",Warm,12,144000,villa,7,Trincomalee
Cultural,Matara,"Temple of the Tooth, Kandy",Moderate,22,266000,3-star hotel,9,Kandy
Historical,Kandy,"Anuradhapura Sacred City, Anuradhapura",Warm,19,95000,cottage,4,Anuradhapura
Wildlife,Kegalle,"Udawalawe National Park, Ratnapura",Warm,10,5000,camping,1,Ratnapura
Cultural,Mullaitivu,"Thuparamaya, Anuradhapura",Warm,21,60000,camping,6,Anuradhapura
Forest,Kurunegala,"Hiyare Reservoir, Galle",Tropical,1,7000,5-star hotel,4,Galle
Wildlife,Mullaitivu,"Kaudulla National Park, Polonnaruwa",Warm,5,31000,3-star hotel,4,Polonnaruwa
Beach,Mannar,"Bentota Beach, Bentota",Warm,20,163000,3-star hotel,5,Kalutara
Beach,Badulla,"Jungle Beach, Unawatuna",Warm,8,8000,camping,2,Galle
Historical,Nuwara Eliya,"Abhayagiri Dagaba, Anuradhapura",Warm,9,52000,3-star hotel,4,Anuradhapura
Forest,Matale,"Badulla Forest, Badulla",Tropical,7,20000,other,5,Badulla
Wildlife,Anuradhapura,"Wasgamuwa National Park, Matale",Warm,10,13000,other,2,Matale
Lakeside,Matale,"Victoria Dam, Kandy",Moderate,18,168000,villa,7,Kandy
Lakeside,Trincomalee,"Victoria Reservoir, Kandy",Moderate,5,13000,guest houses,3,Kandy
Wildlife,Ratnapura,"Gal Oya National Park, Ampara",Warm,2,16000,guest houses,8,Ampara
Lakeside,Ratnapura,"Koggala Lake, Koggala",Moderate,16,100000,5-star hotel,3,Galle
Mountains,Kegalle,"Kalupahana, Badulla",Cool,2,18000,cottage,9,Badulla
Forest,Ampara,"Meemure, Kandy",Tropical,11,71000,cottage,6,Kandy
Historical,Galle,"Sri Maha Bodhi, Anuradhapura",Warm,3,46000,4-star hotel,8,Anuradhapura
Mountains,Kegalle,"Nine Arches Bridge, Ella",Cool,20,81000,other,7,Badulla
Historical,Ratnapura,"Anuradhapura Sacred City, Anuradhapura",Warm,15,130000,guest houses,9,Anuradhapura
Forest,Hambantota,"Meemure, Kandy",Tropical,22,73000,guest houses,4,Kandy
Beach,Kandy,"Jungle Beach, Unawatuna",Warm,10,46000,camping,9,Galle
Historical,Kegalle,"Anuradhapura Sacred City, Anuradhapura",Warm,4,6000,other,2,Anuradhapura
Beach,Polonnaruwa,"Hiriketiya Beach, Dickwella",Warm,4,15000,2-star hotel,4,Matara
Beach,Jaffna,"Hiriketiya Beach, Dickwella",Warm,22,317000,5-star hotel,6,Matara
Historical,Jaffna,"Mihintale, Anuradhapura",Warm,19,142000,cottage,6,Anuradhapura
Mountains,Jaffna,"Baker's Falls, Horton Plains",Cool,14,122000,cottage,7,Nuwara Eliya
Mountains,Batticaloa,"Thotupola Kanda, Nuwara Eliya",Cool,21,252000,5-star hotel,5,Nuwara Eliya
Lakeside,Nuwara Eliya,"Kandy Lake, Kandy",Moderate,11,42000,2-star hotel,4,Kandy
Forest,Polonnaruwa,"Badulla Forest, Badulla",Tropical,14,134000,5-star hotel,5,Badulla
Beach,Batticaloa,"Uppuveli Beach, Trincomalee",Warm,12,55000,4-star hotel,2,Trincomalee
Forest,Kegalle,"Knuckles Forest Reserve, Kandy",Tropical,8,16000,other,3,Kandy
Lakeside,Kalutara,"Kantale Lake, Trincomalee",Moderate,20,137000,villa,6,Trincomalee
Wildlife,Batticaloa,"Wasgamuwa National Park, Matale",Warm,20,72000,2-star hotel,4,Matale
Wildlife,Kegalle,"Gal Oya National Park, Ampara",Warm,20,160000,cottage,6,Ampara
Mountains,Vavuniya,"Demodara Loop, Ella",Cool,2,7000,other,6,Badulla
Forest,Monaragala,"Yagirala Forest Reserve, Kalutara",Tropical,23,237000,villa,9,Kalutara
Historical,Mannar,"Munneswaram Temple, Chilaw",Warm,5,23000,villa,4,Puttalam
Cultural,Galle,"Polonnaruwa Ruins, Polonnaruwa",Warm,4,24000,other,9,Polonnaruwa
Historical,Jaffna,"Sigiriya, Sigiriya",Warm,24,246000,5-star hotel,4,Matale
Historical,Ampara,"Mihintale, Anuradhapura",Warm,17,196000,3-star hotel,8,Anuradhapura
Cultural,Kilinochchi,"Kataragama Temple, Kataragama",Warm,3,19000,2-star hotel,7,Hambantota
Mountains,Mullaitivu,"Ravana Falls, Ella",Cool,10,17000,camping,4,Badulla
Lakeside,Gampaha,"Girithale Wewa, Polonnaruwa",Moderate,23,171000,villa,6,Polonnaruwa
Beach,Kegalle,"Marble Beach, Trincomalee",Warm,17,220000,villa,8,Trincomalee
Lakeside,Anuradhapura,"Girithale Wewa, Polonnaruwa",Moderate,17,106000,3-star hotel,5,Polonnaruwa
Mountains,Puttalam,"Horton Plains National Park, Nuwara Eliya",Cool,22,220000,cottage,8,Nuwara Eliya
Wildlife,Anuradhapura,"Kumana National Park, Ampara",Warm,5,14000,5-star hotel,1,Ampara
Forest,Matale,"Meemure, Kandy",Tropical,10,50000,3-star hotel,4,Kandy
Historical,Mullaitivu,"Temple of the Tooth, Kandy",Moderate,17,274000,4-star hotel,9,Kandy
Beach,Galle,"Nilaveli Beach, Trincomalee",Warm,19,22000,camping,2,Trincomalee
Cultural,Polonnaruwa,"Yapahuwa Rock Fortress, Yapahuwa",Warm,9,52000,guest houses,7,Kurunegala
Cultural,Polonnaruwa,"Ruwanwelisaya, Anuradhapura",Warm,3,9000,villa,2,Anuradhapura
Beach,Galle,"Trincomalee Beach, Trincomalee",Warm,24,14000,camping,1,Trincomalee
Cultural,Trincomalee,"Yapahuwa Rock Fortress, Yapahuwa",Warm,9,60000,4-star hotel,4,Kurunegala
Mountains,Galle,"Knuckles Mountain Range, Matale",Cool,16,7000,camping,1,Matale
Mountains,Galle,"Hunas Falls, Kandy",Cool,20,70000,cottage,3,Kandy
Cultural,Mullaitivu,"Anuradhapura Sacred City, Anuradhapura",Warm,1,7000,guest houses,7,Anuradhapura
Cultural,Mullaitivu,"Ruwanwelisaya, Anuradhapura",Warm,20,77000,4-star hotel,2,Anuradhapura
Forest,Kandy,"Badulla Forest, Badulla",Tropical,21,48000,villa,2,Badulla
Historical,Jaffna,"Jethawanaramaya, Anuradhapura",Warm,4,12000,guest houses,3,Anuradhapura
Wildlife,Monaragala,"Gal Oya National Park, Ampara",Warm,18,55000,camping,6,Ampara
Forest,Kegalle,"Yagirala Forest Reserve, Kalutara",Tropical,1,8000,cottage,8,Kalutara
Wildlife,Trincomalee,"Bundala National Park, Hambantota",Warm,13,20000,villa,1,Hambantota
Historical,Jaffna,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,7,29000,guest houses,5,Colombo
Cultural,Matara,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,8,17000,camping,5,Colombo
Wildlife,Ratnapura,"Horton Plains National Park, Nuwara Eliya",Cool,7,27000,camping,8,Nuwara Eliya
Beach,Kegalle,"Unawatuna Beach, Galle",Warm,8,12000,camping,3,Galle
Lakeside,Hambantota,"Parakrama Samudraya, Polonnaruwa",Moderate,1,7000,guest houses,9,Polonnaruwa
Forest,Polonnaruwa,"Makandawa Forest Reserve, Kitulgala",Tropical,8,37000,villa,4,Kegalle
Mountains,Matale,"Horton Plains National Park, Nuwara Eliya",Cool,19,55000,guest houses,3,Nuwara Eliya
Lakeside,Kalutara,"Gal Oya, Ampara",Moderate,15,49000,cottage,3,Ampara
Wildlife,Vavuniya,"Minneriya National Park, Polonnaruwa",Warm,20,20000,guest houses,1,Polonnaruwa
Beach,Ampara,"Tangalle Beach, Tangalle",Warm,20,346000,4-star hotel,9,Hambantota
Cultural,Trincomalee,"Galle Fort, Galle",Warm,23,338000,3-star hotel,9,Galle
Mountains,Monaragala,"Kirigalpotta, Nuwara Eliya",Cool,10,29000,3-star hotel,2,Nuwara Eliya
Mountains,Polonnaruwa,"Ritigala, Ritigala",Warm,7,22000,camping,9,Anuradhapura
Wildlife,Ratnapura,"Gal Oya National Park, Ampara",Warm,20,122000,villa,4,Ampara
Cultural,Galle,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,3,30000,3-star hotel,8,Colombo
Historical,Kalutara,"Kataragama Temple, Kataragama",Warm,12,11000,2-star hotel,1,Hambantota
Beach,Jaffna,"Negombo Beach, Negombo",Warm,20,54000,2-star hotel,3,Gampaha
Forest,Polonnaruwa,"Bopath Ella, Kuruwita",Tropical,24,76000,villa,3,Ratnapura
Mountains,Hambantota,"Kabaragala, Nawalapitiya",Cool,12,150000,5-star hotel,6,Nuwara Eliya
Forest,Matale,"Meemure, Kandy",Tropical,5,25000,villa,4,Kandy
Cultural,Polonnaruwa,"Ambuluwawa Temple, Gampola",Moderate,23,246000,villa,8,Kandy
Wildlife,Hambantota,"Sinharaja Forest Reserve, Galle",Warm,19,230000,3-star hotel,9,Galle
Forest,Anuradhapura,"Knuckles Forest Reserve, Kandy",Tropical,7,25000,guest houses,4,Kandy
Wildlife,Kilinochchi,"Minneriya National Park, Polonnaruwa",Warm,8,55000,other,9,Polonnaruwa
Historical,Colombo,"Lovamahapaya, Anuradhapura",Warm,21,202000,4-star hotel,5,Anuradhapura
Historical,Badulla,"Ruwanwelisaya, Anuradhapura",Warm,9,67000,cottage,6,Anuradhapura
Lakeside,Polonnaruwa,"Victoria Dam, Kandy",Moderate,9,60000,villa,5,Kandy
Forest,Hambantota,"Kottawa Arboretum, Galle",Tropical,16,203000,4-star hotel,9,Galle
Cultural,Hambantota,"Gangaramaya Temple, Colombo",Warm,23,86000,villa,3,Colombo
Lakeside,Colombo,"Tissa Wewa, Tissamaharama",Moderate,10,58000,5-star hotel,3,Hambantota
Beach,Kilinochchi,"Beruwala Beach, Beruwala",Warm,24,60000,cottage,2,Kalutara
Lakeside,Mannar,"Parakrama Samudraya, Polonnaruwa",Moderate,9,29000,cottage,3,Polonnaruwa
Wildlife,Matale,"Lunugamvehera National Park, Hambantota",Warm,17,16000,guest houses,1,Hambantota
Beach,Nuwara Eliya,"Passekudah Beach, Passekudah",Warm,6,87000,villa,8,Batticaloa
Forest,Mannar,"Dunhinda Falls, Badulla",Tropical,24,120000,2-star hotel,6,Badulla
Forest,Nuwara Eliya,"Meemure, Kandy",Tropical,11,48000,cottage,4,Kandy
Historical,Kandy,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,12,45000,villa,3,Colombo
Lakeside,Jaffna,"Sembuwatta Lake, Matale",Moderate,19,89000,cottage,4,Matale
Beach,Kandy,"Negombo Beach, Negombo",Warm,12,86000,guest houses,8,Gampaha
Lakeside,Nuwara Eliya,"Sembuwatta Lake, Matale",Moderate,2,31000,5-star hotel,7,Matale
Historical,Anuradhapura,"Ambuluwawa Temple, Gampola",Moderate,24,161000,5-star hotel,3,Kandy
Historical,Jaffna,"Sri Maha Bodhi, Anuradhapura",Warm,14,20000,other,2,Anuradhapura
Beach,Ratnapura,"Hikkaduwa Beach, Hikkaduwa",Warm,7,60000,2-star hotel,9,Galle
Wildlife,Vavuniya,"Wasgomuwa National Park, Matale",Warm,1,5000,guest houses,6,Matale
Mountains,Mullaitivu,"Knuckles Mountain Range, Kandy",Cool,10,17000,2-star hotel,2,Kandy
Wildlife,Kandy,"Gal Oya National Park, Ampara",Warm,19,19000,2-star hotel,1,Ampara
Forest,Galle,"Makandawa Forest Reserve, Kitulgala",Tropical,22,101000,other,8,Kegalle
Forest,Mannar,"Kottawa Arboretum, Galle",Tropical,16,28000,5-star hotel,1,Galle
Historical,Kegalle,"Yapahuwa Rock Fortress, Yapahuwa",Warm,23,77000,guest houses,4,Kurunegala
Cultural,Jaffna,"Dambulla Cave Temple, Dambulla",Warm,10,18000,2-star hotel,2,Matale
Mountains,Ratnapura,"Kabaragala, Nawalapitiya",Cool,3,22000,2-star hotel,9,Nuwara Eliya
Beach,Kegalle,"Mount Lavinia Beach, Mount Lavinia",Warm,14,75000,4-star hotel,3,Colombo
Wildlife,Badulla,"Lunugamvehera National Park, Hambantota",Warm,22,84000,2-star hotel,4,Hambantota
Wildlife,Monaragala,"Kaudulla National Park, Polonnaruwa",Warm,11,29000,cottage,2,Polonnaruwa
Historical,Kurunegala,"Abhayagiri Dagaba, Anuradhapura",Warm,16,80000,cottage,4,Anuradhapura
Forest,Vavuniya,"Badulla Forest, Badulla",Tropical,17,117000,villa,6,Badulla
Historical,Hambantota,"Abhayagiri Dagaba, Anuradhapura",Warm,4,69000,4-star hotel,9,Anuradhapura
Beach,Ratnapura,"Hikkaduwa Beach, Hikkaduwa",Warm,4,15000,cottage,3,Galle
Mountains,Batticaloa,"Demodara Loop, Ella",Cool,2,8000,other,7,Badulla
Historical,Kegalle,"Jethawanaramaya, Anuradhapura",Warm,14,67000,2-star hotel,5,Anuradhapura
Lakeside,Kilinochchi,"Nuwara Wewa, Anuradhapura",Moderate,10,52000,other,9,Anuradhapura
Cultural,Hambantota,"Ruwanwelisaya, Anuradhapura",Warm,12,135000,cottage,9,Anuradhapura
